human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
KDM4A,FBgn0033233,Kdm4A,FBbt:00003844,medulla tangential neuron Mt8,0.142857,952.381,1,4
KDM4A,FBgn0033233,Kdm4A,FBbt:00111748,lobula columnar neuron LC10d,0.135135,455.917994,1,5
RNF123,FBgn0038296,Kpc1,FBbt:00058251,adult perineurial glial cell,0.166667,568.8282,7,1
RNF123,FBgn0038296,Kpc1,FBbt:00057009,head cyst cell,0.132538,178.465929,4,2
RNF123,FBgn0038296,Kpc1,FBbt:00004211,photoreceptor neuron,0.076923,1102.5359,15,3
RNF123,FBgn0038296,Kpc1,FBbt:00047095,adult neuron,0.068182,877.276254,45,4
RNF123,FBgn0038296,Kpc1,FBbt:00110107,adult insulin secreting cell of pars intercerebralis,0.066667,28.274147,1,5
COMMD5,FBgn0067622,LSm-4,FBbt:00004046,LNv neuron,0.685714,142.586765,1,1
COMMD5,FBgn0067622,LSm-4,FBbt:00058222,sugar-sensing neuron of the adult brain,0.636364,123.472926,1,2
COMMD5,FBgn0067622,LSm-4,FBbt:00111316,adult CCAP neuron,0.625,215.918575,1,3
COMMD5,FBgn0067622,LSm-4,FBbt:00048298,CCHamide-1 neuron,0.6,128.198442,1,4
COMMD5,FBgn0067622,LSm-4,FBbt:00110925,Hugin neuron,0.588235,107.819578,1,5
PTPRF,FBgn0000464,Lar,FBbt:00110065,lamina wide-field 2 neuron,1.0,6898.812022,18,1
PTPRF,FBgn0000464,Lar,FBbt:00003821,transmedullary Y neuron TmY4,1.0,6315.50305,5,2
PTPRF,FBgn0000464,Lar,FBbt:00058203,adult octopaminergic neuron,1.0,5708.713804,15,3
PTPRF,FBgn0000464,Lar,FBbt:00111285,medulla intrinsic neuron Mi15,1.0,5361.048288,17,4
PTPRF,FBgn0000464,Lar,FBbt:00111273,distal medullary amacrine neuron Dm12,1.0,5071.556031,15,5
MAPKAPK3,FBgn0013987,MAPk-Ak2,FBbt:00048313,ITP neuron,0.52381,96.87548,1,1
MAPKAPK3,FBgn0013987,MAPk-Ak2,FBbt:00003874,lobula columnar neuron LC4,0.5,396.96021,1,2
MAPKAPK3,FBgn0013987,MAPk-Ak2,FBbt:00111316,adult CCAP neuron,0.5,150.708199,1,3
MAPKAPK3,FBgn0013987,MAPk-Ak2,FBbt:00048900,lineage 15 secondary neuron,0.395931,287.600151,1,4
MAPKAPK3,FBgn0013987,MAPk-Ak2,FBbt:00003768,distal medullary amacrine neuron Dm1,0.387097,299.004473,1,5
MED8,FBgn0034503,MED8,FBbt:00048313,ITP neuron,0.52381,120.72507,1,1
MED8,FBgn0034503,MED8,FBbt:00003771,distal medullary amacrine neuron Dm4,0.32,191.68616,1,2
MED8,FBgn0034503,MED8,FBbt:00004046,LNv neuron,0.257143,102.204558,1,3
MED8,FBgn0034503,MED8,FBbt:00111282,proximal medullary amacrine neuron Pm4,0.22,273.804966,2,4
MED8,FBgn0034503,MED8,FBbt:00048142,allatostatin A neuron,0.212766,208.447825,1,5
PPP1R16A,FBgn0036801,MYPT-75D,FBbt:00100501,adult brain cell body glial cell,0.996198,8102.940519,20,1
PPP1R16A,FBgn0036801,MYPT-75D,FBbt:00111282,proximal medullary amacrine neuron Pm4,0.98,3255.683042,8,2
PPP1R16A,FBgn0036801,MYPT-75D,FBbt:00111762,lobula plate-lobula columnar neuron LPLC1,0.894737,561.538615,1,3
PPP1R16A,FBgn0036801,MYPT-75D,FBbt:00058203,adult octopaminergic neuron,0.857143,1719.786994,15,4
PPP1R16A,FBgn0036801,MYPT-75D,FBbt:00004207,dorsal margin photoreceptor cell,0.846154,2094.959985,3,5
MEF2C,FBgn0011656,Mef2,FBbt:00004046,LNv neuron,0.914286,302.243626,1,1
MEF2C,FBgn0011656,Mef2,FBbt:00100248,alpha/beta Kenyon cell,0.865546,2106.224588,8,2
MEF2C,FBgn0011656,Mef2,FBbt:00100501,adult brain cell body glial cell,0.847909,1306.16785,20,3
MEF2C,FBgn0011656,Mef2,FBbt:00049828,adult gamma Kenyon cell,0.797938,1406.962416,5,4
MEF2C,FBgn0011656,Mef2,FBbt:00067016,adult olfactory receptor neuron Or13a,0.75,1075.532793,6,5
DUSP6,FBgn0036844,Mkp3,FBbt:00003771,distal medullary amacrine neuron Dm4,1.0,1009.256992,1,1
DUSP6,FBgn0036844,Mkp3,FBbt:00111316,adult CCAP neuron,1.0,578.227432,1,2
DUSP6,FBgn0036844,Mkp3,FBbt:00111276,distal medullary amacrine neuron Dm15,0.976744,3094.115039,1,3
